caseid,pid7_reduced,age_bin,browse_window,browse_n_total,browse_n_total_news,browse_n_total_bias,browse_n_total_fake,browse_n_total_fake_ng,browse_n_total_fake_either,browse_mean_bias,browse_mean_bias_news,browse_exposed_news,browse_exposed_fake,browse_exposed_fake_ng,browse_exposed_fake_either,browse_p_total_news,browse_p_total_fake,browse_p_total_fake_news,browse_p_total_fake_ng,browse_p_total_fake_news_ng,browse_p_total_fake_either,browse_p_total_fake_news_either,search_window,search_n_serps,search_n_results,search_n_urls,search_n_urls_bias,search_n_urls_news,search_n_urls_fake,search_n_urls_fake_ng,search_n_urls_fake_either,search_n_serps_w_news,search_n_serps_w_fake,search_n_serps_w_fake_ng,search_n_serps_w_fake_either,search_n_serps_w_fake_news,search_n_serps_w_fake_news_ng,search_n_serps_w_fake_news_either,search_mean_urls,search_mean_cmpts,search_mean_average_bias,search_mean_weighted_bias,search_mean_ranking_bias,search_mean_average_bias_news,search_mean_weighted_bias_news,search_mean_ranking_bias_news,search_p_serps_w_news,search_p_serps_w_fake,search_p_serps_w_fake_ng,search_p_serps_w_fake_either,search_p_serps_w_fake_news,search_p_serps_w_fake_news_ng,search_p_serps_w_fake_news_either,search_p_urls_news,search_p_urls_fake,search_p_urls_fake_ng,search_p_urls_fake_either,search_p_urls_news_fake,search_p_urls_news_fake_ng,search_p_urls_news_fake_either,history_window,history_n_clicks,history_n_news,history_n_bias,history_n_fake,history_n_fake_ng,history_n_fake_either,history_mean_bias,history_mean_bias_news,history_p_news,history_p_bias,history_p_fake,history_p_fake_ng,history_p_fake_either,history_p_fake_news,history_p_fake_news_ng,history_p_fake_news_either,follow_window,follow_n_clicks,follow_n_news,follow_n_bias,follow_n_fake,follow_n_fake_ng,follow_n_fake_either,follow_mean_bias,follow_mean_bias_news,follow_p_news,follow_p_bias,follow_p_fake,follow_p_fake_ng,follow_p_fake_either,follow_p_fake_news,follow_p_fake_news_ng,follow_p_fake_news_either,race,newsint,college,female,high_news,age_group,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
0,Strong Republican,45 - 64,56.559895833333336,17702.07261904762,1067.0857142857144,6701.429761904762,1.0,16.0,16.0,0.0263544464022608,0.0098505609403448,1.0,1.0,1.0,1.0,0.0602802698446462,5.649056025925401e-05,0.0009371318410624,0.000903848964148,0.014994109456999,0.000903848964148,0.014994109456999,71.91253472222222,425.0,6085.0,4590.0,2653.0,786.0,2.0,7.0,9.0,202.0,1.0,7.0,8.0,1.0,7.0,8.0,10.8,4.574117647058824,0.0229522105888164,0.0254827095790036,0.0025304989901872,-0.076663161403168,-0.0598835578054116,0.0167796035977563,0.4752941176470588,0.0023529411764705,0.0164705882352941,0.0188235294117647,0.0049504950495049,0.0346534653465346,0.0396039603960396,0.1712418300653594,0.0004357298474945,0.0015250544662309,0.0019607843137254,0.0025445292620865,0.0089058524173027,0.0114503816793893,211.64097222222225,1891.0,171.0,702.0,2.0,2.0,4.0,0.1109851851851851,0.0065224852071005,0.0904283447911158,0.3712321523003701,0.0010576414595452,0.0010576414595452,0.0021152829190904,0.0116959064327485,0.0116959064327485,0.023391812865497,208.88997685185183,592.0,40.0,194.0,0.0,1.0,1.0,0.0813247422680412,0.0055717948717948,0.0675675675675675,0.3277027027027027,0.0,0.0016891891891891,0.0016891891891891,0.0,0.025,0.025,White,Most of the time,0,1,1,45-64,0.142325492346052,-0.0389892429499786,0.0005489776574544,-0.0295360607521971,0.0151561303413666,0.0281065792010757,-0.0151770942577677,-0.0132726864469826,0.0172692645931483,0.0302726423153586
1,Not very strong Republican,25 - 44,89.44569444444444,19758.0,806.0,16569.0,0.0,3.0,3.0,-0.0213680585079461,-0.0444492555831265,1.0,0.0,1.0,1.0,0.0407936025913554,0.0,0.0,0.0001518372304889,0.0037220843672456,0.0001518372304889,0.0037220843672456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,Most of the time,1,1,1,25-44,,,,,,,,,,
2,Lean Democrat,65+,160.0461226851852,46550.03134920635,2004.611111111111,18108.027777777777,0.0,3.0,3.0,0.038650808198951,0.0440762769171077,1.0,0.0,1.0,1.0,0.0430635824082058,0.0,0.0,6.444678796228454e-05,0.0014965496217055,6.444678796228454e-05,0.0014965496217055,48.01430555555555,134.0,2126.0,1680.0,949.0,303.0,2.0,4.0,6.0,71.0,2.0,4.0,6.0,2.0,4.0,6.0,12.537313432835822,5.276119402985074,-0.020693684461213,-0.0078581762315875,0.0128355082296255,-0.075293360363469,-0.0644240714537568,0.0108692889097122,0.5298507462686567,0.0149253731343283,0.0298507462686567,0.044776119402985,0.028169014084507,0.056338028169014,0.0845070422535211,0.1803571428571428,0.0011904761904761,0.0023809523809523,0.0035714285714285,0.0066006600660066,0.0132013201320132,0.0198019801980198,59.33371527777778,9124.0,453.0,4238.0,0.0,1.0,1.0,0.1382042944785276,-0.0239357142857142,0.0496492766330556,0.4644892590968873,0.0,0.0001096010521701,0.0001096010521701,0.0,0.0022075055187637,0.0022075055187637,50.09537037037037,122.0,12.0,33.0,0.0,1.0,1.0,0.012030303030303,-0.0301818181818181,0.0983606557377049,0.2704918032786885,0.0,0.0081967213114754,0.0081967213114754,0.0,0.0833333333333333,0.0833333333333333,White,Most of the time,0,1,1,65+,0.132443680246288,-0.0396984970049276,0.0255080435295574,-0.0335716043575768,0.0254673203875639,0.001161014170475,0.0010626828629157,0.0050788706750099,-0.0100304848475036,-0.0112522192714514
3,Not very strong Republican,65+,57.04934027777778,1648.1916666666666,31.0,902.275,2.0,1.0,2.0,0.0228982263389674,0.2156290322580645,1.0,1.0,1.0,1.0,0.01880849213532,0.0012134511055045,0.064516129032258,0.0006067255527522,0.032258064516129,0.0012134511055045,0.064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.93667824074075,5938.0,547.0,1970.0,36.0,16.0,41.0,0.1772117258883248,0.3536318702290076,0.0921185584371842,0.3317615358706635,0.0060626473560121,0.0026945099360053,0.0069046817110138,0.0658135283363802,0.0292504570383912,0.0749542961608775,210.4886574074074,39.0,2.0,11.0,0.0,0.0,0.0,0.0157454545454545,0.14275,0.0512820512820512,0.282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,White,Most of the time,1,0,1,65+,,,,,,,,,,
4,Strong Republican,65+,64.7845486111111,3941.817857142857,89.0,2726.8654761904763,12.0,6.0,18.0,0.0389752757696498,0.2989831460674157,1.0,1.0,1.0,1.0,0.0225784151438467,0.0030442806935523,0.1348314606741573,0.0015221403467761,0.0674157303370786,0.0045664210403285,0.2022471910112359,50.84335648148148,128.0,1655.0,1381.0,933.0,65.0,34.0,0.0,34.0,37.0,32.0,0.0,32.0,32.0,0.0,32.0,10.7890625,4.15625,-0.0197958381575287,0.0400787440823873,0.059874582239916,0.3283660231660232,0.3297957746522032,0.00142975148618,0.2890625,0.25,0.0,0.25,0.8648648648648649,0.0,0.8648648648648649,0.0470673425054308,0.0246198406951484,0.0,0.0246198406951484,0.5230769230769231,0.0,0.5230769230769231,249.3041087962963,7115.0,884.0,3565.0,63.0,57.0,104.0,0.16000889200561,0.2759378947368421,0.1242445537596626,0.5010541110330288,0.008854532677442,0.0080112438510189,0.0146170063246661,0.0712669683257918,0.0644796380090497,0.1176470588235294,240.2599537037037,561.0,1.0,532.0,0.0,0.0,0.0,0.1128710526315789,0.3744,0.0017825311942959,0.948306595365419,0.0,0.0,0.0,0.0,0.0,0.0,White,Most of the time,0,0,1,65+,0.0780158939371435,-0.0475823033498686,-0.0117205417015557,-0.0610233749753858,-0.103059911132394,-0.0152234620391192,0.0317806767803334,0.0116490530712301,-0.0265089488676527,0.0286234304444279
5,Strong Republican,65+,40.04883101851852,142.66666666666666,0.0,90.33333333333331,0.0,0.0,0.0,0.0349740654205607,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.73745370370371,75.0,1441.0,671.0,453.0,118.0,6.0,3.0,7.0,29.0,5.0,1.0,5.0,5.0,1.0,5.0,8.946666666666667,3.8533333333333335,0.0704685532467532,0.0670638067680251,-0.003404746478728,0.031632118972981,0.0226028241620672,-0.0090292948109138,0.3866666666666666,0.0666666666666666,0.0133333333333333,0.0666666666666666,0.1724137931034483,0.0344827586206896,0.1724137931034483,0.1758569299552906,0.0089418777943368,0.0044709388971684,0.0104321907600596,0.0508474576271186,0.0254237288135593,0.059322033898305,217.1791550925926,207.0,23.0,106.0,0.0,1.0,1.0,0.077338679245283,-0.0592434782608695,0.1111111111111111,0.5120772946859904,0.0,0.0048309178743961,0.0048309178743961,0.0,0.0434782608695652,0.0434782608695652,177.02552083333333,70.0,3.0,8.0,0.0,0.0,0.0,0.0170124999999999,-0.1216333333333333,0.0428571428571428,0.1142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,Mixed,Most of the time,1,1,1,65+,0.186945127750166,-0.0490516810945664,-0.0245230889882942,-0.0716460936681275,0.0654837558525015,-0.0089189614216336,0.0535827325710379,0.0076371511654516,-0.0080640514471439,-0.0169067182429836
6,Strong Democrat,65+,153.34556712962964,69137.02619047619,1246.611111111111,14943.60238095238,0.0,25.0,25.0,0.0138389745873082,0.0371749052988101,1.0,0.0,1.0,1.0,0.0180310201320582,0.0,0.0,0.0003616007424317,0.0200543696243148,0.0003616007424317,0.0200543696243148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.9451388888889,5406.0,392.0,722.0,0.0,5.0,5.0,0.0964379501385041,0.0372072164948453,0.0725120236773954,0.1335553089160192,0.0,0.0009248982611912,0.0009248982611912,0.0,0.0127551020408163,0.0127551020408163,146.4462962962963,16.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Most of the time,1,0,1,65+,0.154094983411544,-0.0426018880081678,-0.0378669158105313,-0.0594829345205533,-0.194722855794678,-0.0783983308712539,0.0926471414667467,-0.0466345650400294,-0.0568124543814474,0.0477619734632419
7,Strong Democrat,65+,119.60524305555556,11579.0,5002.300000000001,7256.716666666666,2.0,18.25,20.25,-0.0173458067766358,-0.0463302307605168,1.0,1.0,1.0,1.0,0.4320148544779343,0.0001727264876068,0.000399816084601,0.0015761291994127,0.0036483217719848,0.0017488556870196,0.0040481378565859,33.01283564814815,84.0,1237.0,962.0,522.0,98.0,1.0,0.0,1.0,38.0,1.0,0.0,1.0,1.0,0.0,1.0,11.452380952380953,4.821428571428571,0.0118128708655179,0.0272475645312011,0.0154346936656832,-0.1860653508771929,-0.1865968201754385,-0.0005314692982456,0.4523809523809524,0.0119047619047619,0.0,0.0119047619047619,0.0263157894736842,0.0,0.0263157894736842,0.1018711018711018,0.001039501039501,0.0,0.001039501039501,0.010204081632653,0.0,0.010204081632653,217.65748842592592,11376.0,4118.0,5601.0,7.0,26.0,33.0,-0.0472589716122121,-0.0805427250608272,0.3619901547116737,0.4923523206751055,0.0006153305203938,0.0022855133614627,0.0029008438818565,0.001699854298203,0.0063137445361826,0.0080135988343856,213.63399305555555,340.0,46.0,103.0,2.0,4.0,6.0,-0.0140611650485436,-0.0249772727272727,0.1352941176470588,0.3029411764705882,0.0058823529411764,0.0117647058823529,0.0176470588235294,0.0434782608695652,0.0869565217391304,0.1304347826086956,Black,Most of the time,0,1,1,65+,0.160911250406827,-0.0073472876512203,0.0004411459605137,-0.0567839156806522,-0.017246958759982,0.0164133835129527,-0.007655621684729,0.0013231712418926,-0.0122178245667504,0.0132725796034792
8,Lean Democrat,25 - 44,153.48113425925925,36832.93055555556,946.452380952381,26105.42738095238,8.0,15.0,20.0,0.0279746067240446,-0.0732443988830469,1.0,1.0,1.0,1.0,0.025695820741845,0.0002171969452154,0.0084526175442127,0.0004072442722789,0.0158486578953988,0.0005429923630386,0.0211315438605318,64.16332175925926,433.0,6577.0,4671.0,2846.0,798.0,4.0,5.0,9.0,229.0,3.0,4.0,7.0,3.0,4.0,7.0,10.787528868360278,4.542725173210162,-0.057266839402061,-0.0570843322318508,0.0001825071702101,-0.0965371615257898,-0.0969688761052986,-0.0004317145795088,0.5288683602771362,0.0069284064665127,0.0092378752886836,0.0161662817551963,0.0131004366812227,0.0174672489082969,0.0305676855895196,0.1708413615928067,0.0008563476771569,0.0010704345964461,0.001926782273603,0.0050125313283208,0.006265664160401,0.0112781954887218,249.25248842592592,25521.0,1514.0,10985.0,20.0,41.0,51.0,0.0255166590805644,-0.0969460561497326,0.0593236942126092,0.4304298420908272,0.0007836683515536,0.0016065201206849,0.0019983542964617,0.0132100396301188,0.0270805812417437,0.0336856010568031,249.1724074074074,1985.0,289.0,791.0,6.0,9.0,11.0,-0.1073978508217446,-0.1031902097902097,0.1455919395465995,0.3984886649874055,0.0030226700251889,0.0045340050377833,0.0055415617128463,0.0207612456747404,0.0311418685121107,0.0380622837370242,Mixed,Most of the time,0,1,1,25-44,0.119217037670253,-0.0374772510131363,0.0091408811357534,-0.0284630060378875,0.0224267449202717,0.0111698158823356,0.0040665963107315,0.0057402414891044,0.0028210500011591,0.0038446125122976
9,Lean Republican,18 - 24,112.56155092592591,32631.5,444.5,20031.333333333336,1.0,95.0,95.0,-0.0819534718497974,-0.0011903262092238,1.0,1.0,1.0,1.0,0.0136218071495334,3.0645235432021205e-05,0.0022497187851518,0.002911297366042,0.2137232845894263,0.002911297366042,0.2137232845894263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.5577430555556,13227.0,759.0,4961.0,3.0,334.0,334.0,0.1629155412215279,0.040477536231884,0.0573826264459061,0.3750661525667196,0.0002268088001814,0.0252513797535344,0.0252513797535344,0.0039525691699604,0.4400527009222661,0.4400527009222661,184.85841435185185,530.0,12.0,153.0,0.0,2.0,2.0,0.1003431372549019,0.0515272727272727,0.0226415094339622,0.2886792452830188,0.0,0.0037735849056603,0.0037735849056603,0.0,0.1666666666666666,0.1666666666666666,White,Hardly at all,0,1,0,18-24,0.319988792495558,-0.0862635394114583,-0.05850355053123,-0.0814462485250382,0.0107434151199575,-0.0125955499592008,0.0192566952479484,0.0011993071605953,0.027901905725842,-0.0201377653007647
10,Lean Republican,65+,151.2738310185185,129518.92301587302,177.0,10837.995634920637,0.0,2.0,2.0,0.0082939535041159,0.0100774011299434,1.0,0.0,1.0,1.0,0.0013665956748135,0.0,0.0,1.5441759037441136e-05,0.0112994350282485,1.5441759037441136e-05,0.0112994350282485,51.62167824074074,15.0,216.0,170.0,96.0,47.0,0.0,2.0,2.0,11.0,0.0,2.0,2.0,0.0,2.0,2.0,11.333333333333334,4.266666666666667,-0.0466898968253968,-0.0633725351382854,-0.0166826383128886,0.0207820247933884,0.0585184449274325,0.037736420134044,0.7333333333333333,0.0,0.1333333333333333,0.1333333333333333,0.0,0.1818181818181818,0.1818181818181818,0.2764705882352941,0.0,0.0117647058823529,0.0117647058823529,0.0,0.0425531914893617,0.0425531914893617,98.9095601851852,9.0,1.0,2.0,0.0,0.0,0.0,-0.06905,0.0183,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,98.90885416666669,8.0,1.0,2.0,0.0,0.0,0.0,-0.06905,0.0183,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,White,Some of the time,0,0,0,65+,0.154164941838929,-0.0568040435074015,0.0012235514701874,-0.0499046334891792,-0.0786207422666147,-0.0206118743562584,0.019353274558589,0.0105174768523017,-0.0104543909200596,0.0377806678911925
11,Not very strong Republican,45 - 64,85.74091435185186,41764.30753968254,409.0,5468.263095238095,0.0,0.0,0.0,0.0114970130595393,0.0737006791632708,1.0,0.0,0.0,0.0,0.0097930511504683,0.0,0.0,0.0,0.0,0.0,0.0,46.896875,6.0,60.0,46.0,18.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,3.8333333333333335,0.093135238095238,0.0880899467120181,-0.0050452913832199,0.2204999999999999,0.2436166666666666,0.0231166666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,251.65679398148148,6878.0,882.0,3060.0,0.0,0.0,0.0,0.1308163071895424,0.0861401592718998,0.1282349520209363,0.4448967723175341,0.0,0.0,0.0,0.0,0.0,0.0,240.8447453703704,62.0,4.0,13.0,0.0,0.0,0.0,0.0945307692307692,0.1171,0.064516129032258,0.2096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,White,Hardly at all,0,0,0,45-64,0.213877136049212,0.0115938350580692,-0.0510821181523348,-0.0343566704039383,-0.0996917213369822,-0.0263108999896599,0.0427857183338436,-0.0165442704844759,0.0065133210811836,-0.0113085520840673
12,Strong Republican,45 - 64,87.81744212962963,43442.28543895608,173.0,17254.59564439392,2.0,4.0,6.0,0.0242177015377699,0.0614236994219653,1.0,1.0,1.0,1.0,0.0039822950899554,4.603809352549708e-05,0.0115606936416184,9.207618705099416e-05,0.0231213872832369,0.0001381142805764,0.0346820809248554,72.79130787037037,880.0,13181.0,10729.0,6892.0,2537.0,10.0,30.0,38.0,421.0,10.0,13.0,21.0,10.0,13.0,21.0,12.192045454545454,4.560227272727273,0.0519409368661869,0.0493611217826987,-0.0025798150834881,-0.051084809116077,-0.0662250794588085,-0.0151402703427314,0.4784090909090909,0.0113636363636363,0.0147727272727272,0.0238636363636363,0.0237529691211401,0.0308788598574821,0.0498812351543943,0.2364619256221455,0.0009320533134495,0.0027961599403485,0.0035418025911082,0.0039416633819471,0.0118249901458415,0.0149783208513992,232.7697222222222,14613.0,141.0,3950.0,4.0,5.0,9.0,0.1465833924050633,0.006586567164179,0.0096489427222336,0.2703072606583179,0.0002737288715527,0.0003421610894409,0.0006158899609936,0.0283687943262411,0.0354609929078014,0.0638297872340425,231.81273148148148,1427.0,30.0,358.0,1.0,1.0,2.0,0.1894078212290503,0.084426923076923,0.0210231254379817,0.2508759635599159,0.0007007708479327,0.0007007708479327,0.0014015416958654,0.0333333333333333,0.0333333333333333,0.0666666666666666,White,Only now and then,1,1,0,45-64,0.189610084731037,-0.0434991266363441,0.0076116526938635,-0.056996588005506,-0.0225793062653176,0.0211403662172468,-0.0071811825801032,0.0132274361021418,-0.0212419461388917,0.040995454150819
13,Strong Democrat,65+,104.14295138888887,21955.0,2462.333333333333,15375.833333333334,0.0,9.0,9.0,-0.0575909322098231,-0.2267600243671315,1.0,0.0,1.0,1.0,0.1121536476125407,0.0,0.0,0.0004099294010475,0.0036550697170705,0.0004099294010475,0.0036550697170705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.7748611111111,395.0,42.0,179.0,0.0,0.0,0.0,-0.1028977653631285,-0.1787880952380952,0.1063291139240506,0.4531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,194.77476851851853,398.0,27.0,127.0,0.0,0.0,0.0,-0.0991267716535433,-0.1755962962962962,0.0678391959798995,0.3190954773869346,0.0,0.0,0.0,0.0,0.0,0.0,White,Most of the time,1,1,1,65+,,,,,,,,,,
14,Strong Democrat,65+,64.03287037037038,7405.05,1890.372619047619,3672.303571428571,0.0,16.0,16.0,-0.1042116701890376,-0.370008910059934,1.0,0.0,1.0,1.0,0.255281546923737,0.0,0.0,0.002160687638841,0.008463939775038,0.002160687638841,0.008463939775038,72.86246527777777,190.0,3118.0,2419.0,1448.0,275.0,1.0,2.0,3.0,70.0,1.0,2.0,3.0,1.0,2.0,3.0,12.73157894736842,5.242105263157895,0.027641807966057,0.0150018667946708,-0.0126399411713861,-0.0741477614924757,-0.0636267179726335,0.0105210435198422,0.3684210526315789,0.0052631578947368,0.0105263157894736,0.0157894736842105,0.0142857142857142,0.0285714285714285,0.0428571428571428,0.1136833402232327,0.0004133939644481,0.0008267879288962,0.0012401818933443,0.0036363636363636,0.0072727272727272,0.0109090909090909,226.9501273148148,4894.0,2628.0,2881.0,1.0,0.0,1.0,-0.3737821242624088,-0.4109232939382386,0.5369840621168778,0.5886800163465468,0.0002043318348998,0.0,0.0002043318348998,0.0003805175038051,0.0,0.0003805175038051,229.02503472222224,454.0,77.0,157.0,0.0,0.0,0.0,-0.1056152866242038,-0.2134808219178082,0.1696035242290749,0.3458149779735683,0.0,0.0,0.0,0.0,0.0,0.0,White,Most of the time,1,0,1,65+,0.16415089894328,0.0289024120364225,0.0313170656522377,-0.0177916511081927,-0.0183322577320767,0.0241768720401251,-0.019171116090985,0.0261163926707104,-0.0017045384017116,-0.000352918764321
15,Lean Democrat,65+,224.6720601851852,23278.16547619048,2207.0,15143.110714285714,0.0,16.5,16.5,0.0456984553121234,-0.2438796329859537,1.0,0.0,1.0,1.0,0.0948098767601501,0.0,0.0,0.0007088187433359,0.00747621205256,0.0007088187433359,0.00747621205256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.117986111111112,183.0,70.0,117.0,0.0,0.0,0.0,-0.0646478632478632,-0.0603514285714285,0.3825136612021858,0.639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,White,Most of the time,1,1,1,65+,,,,,,,,,,
16,Lean Republican,65+,64.13224537037037,7263.885714285714,1456.2440476190477,5369.976190476191,0.0,4.0,4.0,0.1203152453986322,0.153217952658707,1.0,0.0,1.0,1.0,0.200477279640439,0.0,0.0,0.0005506694567252,0.0027467923433163,0.0005506694567252,0.0027467923433163,69.29658564814815,71.0,1325.0,983.0,525.0,85.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,13.845070422535212,5.845070422535211,0.1182378609713115,0.1228166744861999,0.0045788135148884,-0.0586488804713804,-0.0604479100693077,-0.0017990295979273,0.2535211267605634,0.0,0.0,0.0,0.0,0.0,0.0,0.08646998982706,0.0,0.0,0.0,0.0,0.0,0.0,226.85364583333333,783.0,73.0,317.0,1.0,6.0,7.0,0.0967028391167192,-0.0354555555555555,0.0932311621966794,0.40485312899106,0.0012771392081736,0.0076628352490421,0.0089399744572158,0.0136986301369863,0.0821917808219178,0.0958904109589041,225.3367476851852,322.0,28.0,106.0,0.0,0.0,0.0,0.0478207547169811,-0.1076214285714285,0.0869565217391304,0.3291925465838509,0.0,0.0,0.0,0.0,0.0,0.0,White,Most of the time,0,1,1,65+,0.19307491816597,-0.0338724949885206,-0.0273126248024897,-0.0600233453199916,0.0011037644275042,0.0705752396193889,-0.0075885610001171,0.0022867704250885,-0.0410602276134206,-0.0209817453088046
