user_id,pid7_reduced,age_bin,interest,activity_window,activity_n_total,activity_n_urls,activity_n_bias,activity_n_news,activity_n_fake,activity_n_fake_ng,activity_n_fake_either,activity_mean_bias,activity_mean_bias_news,activity_p_news,activity_p_fake,activity_p_fake_ng,activity_p_fake_either,activity_p_fake_news,activity_p_fake_news_ng,activity_p_fake_news_either,browser_history_window,browser_history_n_total,browser_history_n_urls,browser_history_n_bias,browser_history_n_news,browser_history_n_fake,browser_history_n_fake_ng,browser_history_n_fake_either,browser_history_mean_bias,browser_history_mean_bias_news,browser_history_p_news,browser_history_p_fake,browser_history_p_fake_ng,browser_history_p_fake_either,browser_history_p_fake_news,browser_history_p_fake_news_ng,browser_history_p_fake_news_either,activity_gs_search_window,activity_gs_search_n_serps,activity_gs_search_n_cmpts,activity_gs_search_n_results,activity_gs_search_n_urls,activity_gs_search_n_urls_bias,activity_gs_search_n_urls_news,activity_gs_search_n_urls_fake,activity_gs_search_n_urls_fake_ng,activity_gs_search_n_urls_fake_either,activity_gs_search_n_serps_w_news,activity_gs_search_n_serps_w_fake,activity_gs_search_n_serps_w_fake_ng,activity_gs_search_n_serps_w_fake_either,activity_gs_search_n_serps_w_fake_news,activity_gs_search_n_serps_w_fake_news_ng,activity_gs_search_n_serps_w_fake_news_either,activity_gs_search_mean_urls,activity_gs_search_mean_cmpts,activity_gs_search_mean_average_bias,activity_gs_search_mean_weighted_bias,activity_gs_search_mean_ranking_bias,activity_gs_search_mean_average_bias_news,activity_gs_search_mean_weighted_bias_news,activity_gs_search_mean_ranking_bias_news,activity_gs_search_p_serps_w_news,activity_gs_search_p_serps_w_fake,activity_gs_search_p_serps_w_fake_ng,activity_gs_search_p_serps_w_fake_either,activity_gs_search_p_serps_w_fake_news,activity_gs_search_p_serps_w_fake_news_ng,activity_gs_search_p_serps_w_fake_news_either,activity_gs_search_p_urls_news,activity_gs_search_p_urls_fake,activity_gs_search_p_urls_fake_ng,activity_gs_search_p_urls_fake_either,activity_gs_search_p_urls_fake_news,activity_gs_search_p_urls_fake_news_ng,activity_gs_search_p_urls_fake_news_either,activity_gs_follow_window,activity_gs_follow_n_total,activity_gs_follow_n_urls,activity_gs_follow_n_bias,activity_gs_follow_n_news,activity_gs_follow_n_fake,activity_gs_follow_n_fake_ng,activity_gs_follow_n_fake_either,activity_gs_follow_n_unique_urls,activity_gs_follow_n_unique_domains,activity_gs_follow_n_unique_urls_bias,activity_gs_follow_n_unique_urls_news,activity_gs_follow_n_unique_urls_fake,activity_gs_follow_mean_bias,activity_gs_follow_mean_bias_news,activity_gs_follow_p_news,activity_gs_follow_p_fake,activity_gs_follow_p_fake_ng,activity_gs_follow_p_fake_either,activity_gs_follow_p_fake_news,activity_gs_follow_p_fake_news_ng,activity_gs_follow_p_fake_news_either,party7,party_cat,age_group,high_interest,college,female,race_r,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
0,Not very strong Democrat,65+,Extremely interested,93.40270833333334,46377.0,42360.0,10603.0,5042.0,0.0,40.0,40.0,0.1401411958879643,0.0792082415059687,0.1190273843248347,0.0,0.0009442870632672,0.0009442870632672,0.0,0.0079333597778659,0.0079333597778659,182.3511689814815,88605.0,88605.0,20135.0,10815.0,0.0,64.0,64.0,0.1274190663024584,0.1014267961570593,0.122058574572541,0.0,0.0007223068675582,0.0007223068675582,0.0,0.0059177068885806,0.0059177068885806,78.82438657407407,365.0,4045.0,5825.0,5320.0,3187.0,1124.0,2.0,0.0,2.0,268.0,2.0,0.0,2.0,2.0,0.0,2.0,14.575342465753424,11.082191780821915,-0.0104617573233776,-0.0005517272853118,0.0099100300380658,-0.0032309869669493,0.0043019248005612,0.0075329117675106,0.7342465753424657,0.0054794520547945,0.0,0.0054794520547945,0.0074626865671641,0.0,0.0074626865671641,0.2112781954887218,0.000375939849624,0.0,0.000375939849624,0.0017793594306049,0.0,0.0017793594306049,76.9347337962963,136.0,136.0,77.0,26.0,0.0,0.0,0.0,98.0,69.0,52.0,15.0,0.0,0.1852948051948051,0.2663307692307692,0.1911764705882352,0.0,0.0,0.0,0.0,0.0,0.0,6,Not very strong D,65+,1,0,0,1,-0.313670583504461,-0.0221825587201628,-0.0383096440758428,-0.0777928386869685,0.0110902934839419,-0.0159818209049765,-0.0151995833138812,-0.0158412469659871,0.023716478414817,0.0095796454605893
1,Independent/Not sure,25 - 44,Somewhat interested,116.1366087962963,103262.0,97233.0,35249.0,2502.0,12.0,123.0,125.0,-0.0424661834378257,0.0312135833333333,0.0257320045663509,0.0001234148900064,0.0012650026225664,0.0012855717709008,0.0047961630695443,0.0491606714628297,0.0499600319744204,200.10025462962963,110859.0,110859.0,47612.0,3742.0,33.0,160.0,161.0,0.0283379883222716,0.0868106878596876,0.0337545891628104,0.0002976754255405,0.0014432747904996,0.0014522952579402,0.0088188134687332,0.0427578834847675,0.0430251202565473,71.13905092592593,37.0,438.0,702.0,652.0,323.0,165.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,17.62162162162162,11.83783783783784,0.0321280765180765,0.0577624805377478,0.0256344040196713,0.0951515137254902,0.0962296314751018,0.0010781177496116,0.7297297297297297,0.0,0.0,0.0,0.0,0.0,0.0,0.2530674846625766,0.0,0.0,0.0,0.0,0.0,0.0,67.10568287037037,10.0,10.0,3.0,0.0,0.0,0.0,0.0,10.0,9.0,3.0,0.0,0.0,0.0669,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4, No party,25-44,0,0,0,2,-0.199446268464066,0.0572547452737916,-0.0150644248067812,0.023282612734657,-0.021804958706788,0.0144415083753582,-0.0053689564497056,0.0522296358242331,-0.0077738137942865,0.052504507343031
2,Not very strong Democrat,45 - 64,Not very interested,46.26487268518518,25830.0,24101.0,10054.0,527.0,0.0,0.0,0.0,0.0719904814004412,0.1096990421455938,0.0218663126011368,0.0,0.0,0.0,0.0,0.0,0.0,136.2523611111111,48490.0,48490.0,21595.0,349.0,0.0,0.0,0.0,0.056841495716601,0.0525518731988472,0.0071973602804702,0.0,0.0,0.0,0.0,0.0,0.0,46.12614583333333,614.0,4692.0,10527.0,8858.0,3360.0,339.0,4.0,6.0,10.0,132.0,4.0,6.0,10.0,4.0,6.0,10.0,14.42671009771987,7.641693811074918,0.0669855268172273,0.0637310127230987,-0.0032545140941285,-0.0174946338965693,-0.0072880405290469,0.0102065933675224,0.2149837133550488,0.006514657980456,0.009771986970684,0.01628664495114,0.0303030303030303,0.0454545454545454,0.0757575757575757,0.0382704899525852,0.0004515692029803,0.0006773538044705,0.0011289230074508,0.0117994100294985,0.0176991150442477,0.0294985250737463,46.018819444444446,246.0,246.0,127.0,2.0,0.0,0.0,0.0,198.0,109.0,92.0,2.0,0.0,0.1004732283464566,-0.0604,0.008130081300813,0.0,0.0,0.0,0.0,0.0,0.0,6,Not very strong D,45-64,0,1,1,4,-0.11877690786254,0.0760985745680198,0.001315744226444,-0.0032503530192755,-0.0047918386439834,0.0043450841110126,-0.0023006015047538,0.0227723559005588,-0.0008318986057231,0.0032693769105081
3,Strong Democrat,45 - 64,Very interested,110.19097222222224,47440.0,43884.0,32097.0,2020.0,1.0,47.0,48.0,0.0408335233822405,0.0581450620347394,0.046030443897548,2.2787348464132712e-05,0.0010710053778142,0.0010937927262783,0.0004950495049504,0.0232673267326732,0.0237623762376237,169.8961574074074,25411.0,25411.0,14542.0,527.0,0.0,2.0,2.0,0.0259487209462247,0.0603865275142314,0.0207390500177088,0.0,7.870607217346819e-05,7.870607217346819e-05,0.0,0.0037950664136622,0.0037950664136622,110.054375,476.0,5284.0,8316.0,7119.0,4181.0,1280.0,2.0,10.0,12.0,288.0,2.0,7.0,9.0,2.0,7.0,9.0,14.955882352941176,11.100840336134452,-0.0418528278375547,-0.0414653831321825,0.0003874447053721,-0.1132238640414634,-0.1073976275131142,0.0058262365283492,0.6050420168067226,0.0042016806722689,0.0147058823529411,0.01890756302521,0.0069444444444444,0.0243055555555555,0.03125,0.1798005337828346,0.0002809383340356,0.0014046916701783,0.001685630004214,0.0015625,0.0078125,0.009375,106.99677083333331,125.0,125.0,79.0,16.0,0.0,0.0,0.0,116.0,84.0,71.0,16.0,0.0,-0.0199810126582278,-0.1953133333333333,0.128,0.0,0.0,0.0,0.0,0.0,0.0,7,Strong D,45-64,1,0,1,1,-0.221328653998122,0.0434327901907825,-0.039573551830265,-0.0204607522434448,-0.0046021369475483,-0.0077026159172596,-0.0179586139723576,0.0015186557852056,0.0076040775410613,0.0020232598474835
4,Independent/Not sure,18 - 24,Somewhat interested,,,,,,,,,,,,,,,,,,93.33497685185183,886.0,886.0,446.0,3.0,0.0,0.0,0.0,0.0479251121076233,-0.0781333333333334,0.0033860045146726,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4, No party,18-24,0,0,1,3,,,,,,,,,,
5,Lean Republican,45 - 64,Somewhat interested,,,,,,,,,,,,,,,,,,19.0557175925926,896.0,896.0,587.0,2.0,0.0,0.0,0.0,0.1062890971039182,0.4061,0.0022321428571428,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Ind/Lean R,45-64,0,1,1,1,,,,,,,,,,
6,Independent/Not sure,25 - 44,Somewhat interested,116.73671296296295,51453.0,45300.0,9369.0,4748.0,0.0,0.0,0.0,0.0819026256804334,0.1220092616033755,0.104812362030905,0.0,0.0,0.0,0.0,0.0,0.0,137.20956018518518,57395.0,57395.0,10445.0,5080.0,0.0,0.0,0.0,0.080566548587841,0.1311333136211314,0.0885094520428608,0.0,0.0,0.0,0.0,0.0,0.0,115.81054398148147,456.0,5094.0,7799.0,6993.0,3607.0,1430.0,3.0,0.0,3.0,255.0,2.0,0.0,2.0,2.0,0.0,2.0,15.335526315789474,11.171052631578949,0.0710562693138554,0.0756508401842735,0.004594570870418,0.0646347969499513,0.0646245778968745,-1.0219053076773167e-05,0.5592105263157895,0.0043859649122807,0.0,0.0043859649122807,0.0078431372549019,0.0,0.0078431372549019,0.2044902044902045,0.0004290004290004,0.0,0.0004290004290004,0.002097902097902,0.0,0.002097902097902,115.8046875,202.0,202.0,108.0,30.0,0.0,0.0,0.0,155.0,112.0,67.0,26.0,0.0,0.1009879629629629,0.0970241379310344,0.1485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,4, No party,25-44,0,0,1,1,-0.294194910841653,0.0422319413399398,-0.0430825615570709,0.0352886488042171,-0.0054512916020695,0.0164383362772969,-0.0152792693188385,0.0133526696331312,-0.0390617368534919,0.0108869499245224
7,Independent/Not sure,25 - 44,Not at all interested,14.971979166666667,4656.0,4192.0,903.0,95.0,0.0,0.0,0.0,0.0707006644518269,0.014918947368421,0.022662213740458,0.0,0.0,0.0,0.0,0.0,0.0,13.998530092592592,1402.0,1402.0,334.0,47.0,0.0,0.0,0.0,0.0534131736526945,0.0450893617021276,0.0335235378031383,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4, No party,25-44,0,0,1,1,,,,,,,,,,
8,Lean Democrat,45 - 64,Somewhat interested,62.76706018518519,39321.0,37519.0,28908.0,155.0,0.0,0.0,0.0,0.0445581499930721,-0.2930688741721854,0.0041312401716463,0.0,0.0,0.0,0.0,0.0,0.0,143.0615625,56326.0,56326.0,35857.0,328.0,0.0,1.0,1.0,0.0334381264467189,-0.1305259259259259,0.0058232432624365,0.0,1.7753790434257714e-05,1.7753790434257714e-05,0.0,0.0030487804878048,0.0030487804878048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Ind/Lean D,45-64,0,1,1,5,,,,,,,,,,
9,Strong Democrat,18 - 24,Not at all interested,,,,,,,,,,,,,,,,,,63.82978009259259,10805.0,10805.0,9907.0,142.0,0.0,0.0,0.0,-0.0377832542646613,0.0447183098591549,0.0131420638593243,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Strong D,18-24,0,1,0,3,,,,,,,,,,
